id,address,city,state,zip,county,Activities,pet_friendly,camp_type,natural_features,num_enc
1793,"1536 Rachaels Ridge","Nashville ",TN,37076,Davidson,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1794,"615 Long Hunter Court","Nashville ",TN,37217,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1795,"2008 Ashton Avenue","Nashville ",TN,37218,Davidson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1796,"5170 Hickory Hollow Parkway","Nashville ",TN,37013,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1797,"119 Matthew Lane","Nashville ",TN,37215,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1798,"1509 Hadley Avenue","Nashville ",TN,37138,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1799,"3904 October Woods Drive","Nashville ",TN,37013,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1800,"622 Elaine Drive","Nashville ",TN,37211,Davidson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1801,"629 Debbie Drive","Nashville ",TN,37076,Davidson,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1802,"5811 Crossings Boulevard","Nashville ",TN,37013,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1803,"912 Locklayer Street","Nashville ",TN,37208,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1804,"718 Newhall Drive","Nashville ",TN,37206,Davidson,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1805,"555 North Dupont Avenue","Nashville ",TN,37115,Davidson,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1806,"733 Georgetown Drive","Nashville ",TN,37205,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1807,"511 Norton Avenue","Nashville ",TN,37207,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1808,"4728 Rockland Trail","Nashville ",TN,37013,Davidson,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",4
1809,"332 33rd Avenue North","Nashville ",TN,37209,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1810,"1215 Joseph Avenue","Nashville ",TN,37207,Davidson,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1811,"1495 Snell Boulevard","Nashville ",TN,37218,Davidson,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1812,"204 Blue Hills Drive","Nashville ",TN,37214,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1813,"2400 Merry Street","Nashville ",TN,37208,Davidson,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",4
1814,"4308 Princess Lane","Nashville ",TN,37218,Davidson,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1815,"2411 Alteras Drive","Nashville ",TN,37211,Davidson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1816,"4032 Windwood Lane","Nashville ",TN,37214,Davidson,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",4
1817,"112 Joyner Avenue","Nashville ",TN,37210,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1818,"5788 Cane Ridge Road","Nashville ",TN,37013,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1819,"1324 Beddington Park","Nashville ",TN,37215,Davidson,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1820,"1400 Rosa L Parks Boulevard","Nashville ",TN,37208,Davidson,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",4
1821,"347 Brewer Drive","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1822,"404 Summit Oaks Drive","Nashville ",TN,37221,Davidson,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1823,"5403 Illinois Avenue","Nashville ",TN,37209,Davidson,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1824,"2906 Clare Avenue","Nashville ",TN,37209,Davidson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1825,"1123 Glenwood Avenue","Nashville ",TN,37204,Davidson,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1826,"5908 Sedberry Road","Nashville ",TN,37205,Davidson,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",4
1827,"1211 Rock Creek Trce","Nashville ",TN,37189,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1828,"2505 Walker Lane","Nashville ",TN,37207,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1829,"3819 Dartmouth Avenue","Nashville ",TN,37215,Davidson,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1830,"1124 Jacobs Court","Nashville ",TN,37080,Davidson,Hiking,NO,"Lodging, RVs, Tents",Forest,4
1831,"718 Dutchmans Court","Nashville ",TN,37076,Davidson,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1832,"3219 Lakeshore Drive","Nashville ",TN,37138,Davidson,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",4
1833,"5624 Oakes Drive","Brentwood ",TN,37027,Williamson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
1834,"2317 Fernwood Drive","Nashville ",TN,37216,Davidson,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",4
1835,"600 12th Avenue South","Nashville ",TN,37203,Davidson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1836,"517 Wesley Avenue","Nashville ",TN,37207,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1837,"287 Lawndale Drive","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1838,"913 Fallview Trail","Nashville ",TN,37211,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1839,"270 Tampa Drive","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1840,"429 Patterson Street","Nashville ",TN,37211,Davidson,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",4
1841,"549 Elysian Fields Road","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1842,"3701 Lake Towne Drive","Nashville ",TN,37013,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1843,"450 Kinhawk Drive","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1844,"2707 Eden Street","Nashville ",TN,37208,Davidson,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",4
1845,"1995 Nolensville Pike","Nashville ",TN,37211,Davidson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1846,"1809 Hughes Street","Nashville ",TN,37208,Davidson,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",4
1847,"4052 Brandywine Pointe Boulevard","Nashville ",TN,37138,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1848,"2220 Kirk Avenue","Nashville ",TN,37218,Davidson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1849,"3505 Albee Drive","Nashville ",TN,37076,Davidson,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",4
1850,"6578 Marauder Drive","Nashville ",TN,37209,Davidson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1851,"4821 Milner Drive","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1852,"3109 Thistle Down Lane","Nashville ",TN,37013,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1853,"253 Colt Drive","Nashville ",TN,37221,Davidson,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1854,"3031 Casa Drive","Nashville ",TN,37214,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1855,"4463 Cato Road","Nashville ",TN,37218,Davidson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1856,"804 Old Coach Place","Nashville ",TN,37076,Davidson,"Climbing, Hiking",NO,"RVs, Tents","Forest, Mountains",4
1857,"4809 Trappers Ridge","Nashville ",TN,37013,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1858,"3714 John Mallette Drive","Nashville ",TN,37218,Davidson,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1859,"803 18th Avenue South","Nashville ",TN,37203,Davidson,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1860,"1257 John Street","Nashville ",TN,37210,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1861,"3620 Bentfield Drive","Nashville ",TN,37013,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1862,"712 Wilsonwood Place","Nashville ",TN,37206,Davidson,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1863,"1261 Sioux Terrace","Nashville ",TN,37115,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1864,"240 54th Avenue North","Nashville ",TN,37209,Davidson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1865,"2410 Pafford Drive","Nashville ",TN,37206,Davidson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1866,"529 Wesley Avenue","Nashville ",TN,37207,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1867,"7405 River Park Drive","Nashville ",TN,37221,Davidson,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1868,"804 Dry Creek Road","Goodlettsville ",TN,37072,Davidson,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",4
1869,"143 Canton Court","Goodlettsville ",TN,37072,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1870,"4001 Anderson Road","Nashville ",TN,37217,Davidson,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1871,"1819 14th Avenue","Nashville ",TN,37208,Davidson,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",4
1872,"123 Villa View Court","Brentwood ",TN,37027,Williamson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",6
1873,"716 Waller Road","Brentwood ",TN,37027,Williamson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",6
1874,"435 Benita Drive","Nashville ",TN,37211,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1875,"717 Joseph Avenue","Nashville ",TN,37207,Davidson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1876,"5029 Montclair Drive","Nashville ",TN,37211,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1877,"314 South 17th Street","Nashville ",TN,37206,Davidson,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
1878,"407 West Hillwood Drive","Nashville ",TN,37205,Davidson,Hiking,YES,"Lodging, RVs, Tents",Forest,4
1879,"813 Holt Grove Court","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1880,"819 Beazer Lane","Nashville ",TN,37013,Davidson,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",4
1881,"1749 Haleys Hope Court","Nashville ",TN,37209,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1882,"5114 Greentree Drive","Nashville ",TN,37211,Davidson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",4
1883,"2815 Saint Edwards Drive","Nashville ",TN,37211,Davidson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1884,"5545 Saddlewood Lane","Brentwood ",TN,37027,Williamson,Hiking,YES,"Lodging, RVs, Tents",Forest,6
1885,"4607 Artelia Drive","Nashville ",TN,37013,Davidson,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",4
1886,"1816 14th Avenue","Nashville ",TN,37208,Davidson,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",4
1887,"584 Rural Hill Road","Nashville ",TN,37217,Davidson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",4
1888,"8064 Claytie Circle","Nashville ",TN,37221,Davidson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",4
1889,"737 Nelson Road","Ludlow ",VT,5149,Windsor,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
1890,"91 Hoague Drive","Highgate ",VT,5459,Franklin,Hiking,YES,"Lodging, RVs, Tents",Forest,23
1891,"5309 Darling Hill Road","Burke ",VT,5871,Caledonia,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
1892,"3541 North Road","Maidstone ",VT,5905,Essex,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",14
1893,"60 Bagley Street","Saint Johnsbury ",VT,5819,Caledonia,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1894,"123 Remember Baker Lane","Hartford ",VT,5001,Windsor,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
1895,"480 Keene Road","Walden ",VT,5836,Caledonia,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",0
1896,"55 Sunrise Avenue","Moretown ",VT,5660,Washington,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",54
1897,"75 Calfoster Drive","Wolcott ",VT,5680,Lamoille,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",3
1898,"185 Woodlawn Road","Burlington ",VT,5408,Chittenden,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
1899,"4221 U.S. 5","Burke ",VT,5871,Caledonia,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1900,"313 Post Road","Rutland ",VT,5701,Rutland,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1901,"31 Hills Point Road","Charlotte ",VT,5445,Chittenden,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1902,"840 Fontaine Road","Derby ",VT,5829,Orleans,Hiking,YES,"Lodging, RVs, Tents",Forest,5
1903,"6 Sawmill Lane","Westford ",VT,5494,Chittenden,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1904,"848 Vermont 14","Woodbury ",VT,5650,Washington,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",54
1905,"124 Rod Key Street","Lyndon ",VT,5851,Caledonia,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
1906,"188 River Road","Essex ",VT,5452,Chittenden,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",1
1907,"653 Vermont 12","Hartland ",VT,5048,Windsor,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",2
1908,"578 Vermont 30","Newfane ",VT,5345,Windham,Hiking,YES,"Lodging, RVs, Tents",Forest,2
1909,"2063 Notchbrook Road","Stowe ",VT,5672,Lamoille,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",3
1910,"1623 Mines Road","Lowell ",VT,5847,Orleans,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",5
1911,"721 Vermont 5A","Westmore ",VT,5860,Orleans,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",5
1912,"589 East Main Street","Newport ",VT,5855,Orleans,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",5
1913,"5348 Main Street","Franklin ",VT,5457,Franklin,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",23
1914,"2909 Flamstead Road","Chester ",VT,5143,Windsor,Hiking,YES,"Lodging, RVs, Tents",Forest,2
1915,"82 Roys Road","undefined ",VT,5250,Bennington,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
1916,"135 Pond Road","Shelburne ",VT,5482,Chittenden,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
1917,"1 Pond View Road","Proctor ",VT,5765,Rutland,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
1918,"180 Intervale Avenue","Burlington ",VT,5401,Chittenden,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
1919,"376 Whites Road","Wilmington ",VT,5363,Windham,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
1920,"14 Hillside Terrace","Richford ",VT,5476,Franklin,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",23
1921,"81 Reynolds Drive","Colchester ",VT,5446,Chittenden,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
1922,"3 Southerberry Drive","undefined ",VT,5468,Chittenden,"Climbing, Hiking, Biking",NO,"RVs, Tents","Forest, Mountains",1
1923,"1209 Meehan Road","undefined ",VT,5443,Addison,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
1924,"529 Barr Hill Road","Greensboro ",VT,5841,Orleans,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",5
1925,"95 Woods Hill Road","undefined ",VT,5488,Franklin,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",23
1926,"214 South End Road","Mount Tabor ",VT,5739,Rutland,Hiking,YES,"Lodging, RVs, Tents",Forest,1
1927,"11117 Stonehedge Drive","South Burlington ",VT,5403,Chittenden,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1928,"294 East Lakeshore Drive","Colchester ",VT,5446,Chittenden,"Climbing, Hiking",YES,RVs,"Forest, Mountains",1
1929,"445 Industrial Lane","Barre ",VT,5641,Washington,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",54
1930,"42 Lake Lane","Westmore ",VT,5860,Orleans,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",5
1931,"161 Creek Road","Middlebury ",VT,5753,Addison,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
1932,"388 East Main Street","undefined ",VT,5753,Addison,Hiking,YES,"Lodging, RVs, Tents",Forest,0
1933,"5 Little Deer Road","Groton ",VT,5046,Caledonia,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",0
1934,"8569 Vermont 9","Woodford ",VT,5201,Bennington,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",1
1935,"1485 Hampshire Hollow Road","Poultney ",VT,5764,Rutland,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",1
1936,"109 Summit Street","Burlington ",VT,5401,Chittenden,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
1937,"2 Green Street","Underhill ",VT,5489,Chittenden,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
1938,"1689 Fisher Pond Road","Saint Albans City ",VT,5478,Franklin,Hiking,YES,"Lodging, RVs, Tents",Forest,23
1939,"4632 Vermont 15","Wolcott ",VT,5680,Lamoille,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",3
1940,"220 Avenue B","Williston ",VT,5495,Chittenden,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
1941,"3415 Bog Road","Belvidere ",VT,5442,Lamoille,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1942,"90 Mountain Street","Bristol ",VT,5443,Addison,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",0
1943,"16 Clark Street","undefined ",VT,5150,Windsor,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
1944,"2868 Peak Road","Wheelock ",VT,5851,Caledonia,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
1945,"2464 Windham Hill Road","Townshend ",VT,5359,Windham,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",2
1946,"6985 Woodstock Road","Hartford ",VT,5001,Windsor,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",2
1947,"162 South Main Street","Stowe ",VT,5672,Lamoille,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
1948,"350 Woodbine Road","Shelburne ",VT,5482,Chittenden,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
1949,"207 Maple Hill Road","Shaftsbury ",VT,5262,Bennington,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
1950,"190 Church Street","Burlington ",VT,5401,Chittenden,Hiking,YES,"Lodging, RVs, Tents",Forest,1
1951,"2098 Lower Newton Street","Saint Albans City ",VT,5478,Franklin,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",23
1952,"175 Creek Road","Castleton ",VT,5735,Rutland,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
